English,article,French
bowl,le,bol
purchase,le,achat
plaintiff,le,demandeur
aunt,la,tante
equity,la,équité
load,la,charge
scope,la,portée
darkness,la,obscurité
sandwich,le,sandwich
parish,la,paroisse
closure,la,fermeture
pile,la,pile
ownership,la,propriété
origin,la,origine
defender,le,défenseur
circuit,le,circuit
introduction,la,introduction
mode,le,mode
discount,la,décote
equation,la,équation
entity,la,entité
kit,le,kit
psychology,la,psychologie
virtue,la,vertu
flexibility,la,flexibilité
trainer,le,formateur
continent,le,continent
trader,le,commerçant
bath,le,bain
brick,la,brique
indicator,le,indicateur
seller,le,vendeur
promotion,la,promotion
clash,le,choc
characteristic,la,caractéristique
coin,la,pièce
assurance,la,assurance
proposition,la,proposition
tongue,la,langue
minimum,le,minimum
collector,le,collecteur
capitalism,le,capitalisme
basket,le,panier
framework,le,cadre
consciousness,la,conscience
switch,le,interrupteur
rent,le,loyer
curve,la,courbe
cotton,le,coton
patch,le,patch
import,la,importation
isolation,le,isolement
entrance,la,entrée
necessity,la,nécessité
square,la,place
venture,la,entreprise
steam,la,vapeur
agriculture,la,agriculture
transformation,la,transformation
sheep,le,mouton
brush,la,brosse
database,la,base de données
deposit,le,dépôt
menu,le,menu
adjustment,le,ajustement
triumph,le,triomphe
consumption,la,consommation
guardian,le,gardien
curtain,le,rideau
satisfaction,la,satisfaction
calculation,le,calcul
fleet,la,flotte
remedy,le,remède
lane,la,voie
certificate,le,certificat
swimming,la,piscine
emission,la,émission
fabric,le,tissu
medium,le,moyen
efficiency,la,efficacité
interaction,la,interaction
cab,la,cabine
easter,le,Pâques
glory,la,gloire
reception,la,réception
productivity,la,productivité
acid,le,acide
servant,le,serviteur
evaluation,la,évaluation
mill,le,moulin
exhibition,la,exposition
sum,la,somme
counterpart,la,contrepartie
sergeant,le,sergent
storage,le,stockage
fraction,la,fraction
innovation,la,innovation
stance,la,position
motor,le,moteur
format,le,format
particle,la,particule
trace,la,trace
fluid,le,fluide
curriculum,le,programme
doctrine,la,doctrine
developer,le,développeur
pause,la,pause
removal,la,élimination
sensation,la,sensation
dividend,le,dividende
monopoly,le,monopole
gallery,la,galerie
lecture,la,conférence
taxi,le,taxi
discretion,la,discrétion
flesh,la,chair
merchant,le,commerçant
quantity,la,quantité
darling,le,chouchou
justification,la,justification
painter,le,peintre
mixture,le,mélange
breach,la,violation
lift,le,ascenseur
pond,le,étang
cheek,la,joue
successor,le,successeur
registration,le,enregistrement
consultation,la,consultation
qualification,la,qualification
supplier,le,fournisseur
autumn,le,automne
hardware,le,matériel
leather,le,cuir
rabbit,le,lapin
paragraph,le,paragraphe
companion,le,compagnon
bulk,le,essentiel
corridor,le,couloir
workshop,le,atelier
shade,la,ombre
accountant,le,comptable
sword,la,épée
formation,la,formation
integration,la,intégration
expenditure,la,dépense
input,la,entrée
rod,la,tige
complexity,la,complexité
skirt,la,jupe
insect,le,insecte
transport,le,transport
mortality,la,mortalité
slope,la,pente
restoration,la,restauration
nest,le,nid
variation,la,variation
composition,la,composition
crown,la,couronne
probability,la,probabilité
liberation,la,libération
attendance,la,participation
organism,le,organisme
conservation,la,conservation
sculpture,la,sculpture
champagne,le,champagne
architecture,la,architecture
council,le,conseil
university,la,université
billion,le,milliard
go,le,feu
shit,la,merde
earth,la,terre
lifespan,la,durée de vie
vat,la,cuve
purchaser,le,acheteur
fibre,la,fibre
constable,le,connétable
navy,la,marine
inn,la,auberge
programme,le,programme
mile,le,mile
fig,la,figue
photograph,la,photographie
interface,la,interface
photo,la,photo
eagle,le,aigle
colony,la,colonie
labour,la,main-
neighbour,le,prochain
red,le,rouge
rubbish,la,ordures(p)
isle,la,île
bush,la,brousse
lake,le,lac
lad,le,jeune garçon
judgement,le,jugement
humour,le,humour
rose,la,rose
favour,la,faveur
terrace,la,terrasse
mum,la,maman
bay,la,baie
borough,le,arrondissement
commonwealth,la,république
association,la,association
hill,la,colline
jew,le,Juif
colonel,le,colonel
mrs,le,mrs
god,le,dieu
constitution,la,constitution
honour,le,honneur
treasury,le,trésor
white,le,blanc
cupboard,le,placard
park,le,parc
flat,le,appartement
dozen,la,douzaine
cheque,le,chèque
magistrate,le,magistrat
junction,la,jonction
ms,le,ms
hundred,la,centaine
councillor,le,conseiller
inch,le,pouce
favourite,le,favori
daddy,le,papa
tory,le,toire
pensioner,le,pensionné
rumour,la,rumeur
aids,la,aides
other,le,autre
unix,le,unix
cm,le,cm
illustration,la,illustration
avenue,la,avenue
county,le,comté
miss,la,miss
percent,le,pour cent
traveller,le,voyageur
acre,le,acre
gaze,le,regard
pope,le,pape
classification,la,classification
redundancy,la,redondance
builder,le,constructeur
metre,le,appareil de mesure
mummy,la,momie
van,la,fourgonnette
chap,le,chap
polytechnic,la,école polytechnique
centre,le,centre
king,le,roi
organisation,la,organisation
behaviour,le,comportement
bill,le,projet de loi
solicitor,le,avocat
criterion,le,critère
enquiry,la,enquête
appendix,la,annexe
tutor,le,tuteur
tv,la,télé
princess,la,princesse
allocation,la,attribution
harbour,le,port
whisky,le,whisky
thousand,le,mille
defence,la,défense
queen,la,reine
republic,la,république
co,la,co
licence,la,licence
proceeding,la,procédure
duke,le,duc
tonne,la,tonne
specification,la,spécification
lorry,le,camion
million,le,million
no,le,pas
mark,la,marque
offence,la,infraction
valley,la,vallée
federation,la,fédération
villa,la,villa
abbey,la,abbaye
sociology,la,sociologie
colour,la,couleur
prince,le,prince
theatre,le,théâtre
mp,le,mp
ref,le,arbitre
dollar,le,dollar
bureau,le,bureau
lord,le,seigneur
institute,le,institut
corp,le,corp
stairs,le,escalier
catalogue,le,catalogue
earl,le,comte
petrol,la,essence
directory,le,répertoire
mm,le,mm
archbishop,le,archevêque
frequency,la,fréquence
seminar,le,séminaire
interior,le,intérieur
verse,le,verset
receipt,la,réception
breed,la,race
measurement,la,mesure
palm,la,paume
dock,le,quai
pc,le,pc
disadvantage,le,inconvénient
installation,la,installation
advertisement,la,publicité
implementation,la,mise en oeuvre
portfolio,le,portefeuille
timber,le,bois
clause,la,clause
discourse,le,discours
disc,le,disque
blade,la,lame
ratio,le,rapport
mineral,le,minéral
outline,le,contour
addition,la,addition
machinery,la,machine
canal,le,canal
local,le,local
disposal,la,disposition
refusal,le,refus
domain,le,domaine
register,le,registre
audit,le,audit
availability,la,disponibilité
acquisition,la,acquisition
autonomy,la,autonomie
silk,la,soie
beam,la,poutre
accommodation,le,hébergement
applicant,le,demandeur
modification,la,modification
tin,le,étain
fragment,le,fragment
tenant,le,locataire
conversion,la,conversion
vendor,le,vendeur
practitioner,le,praticien
delight,le,plus grand plaisir
filter,le,filtre
bronze,la,médaille de bronze
doorway,la,porte
incidence,la,incidence
lease,le,bail
constraint,la,contrainte
cloth,le,tissu
nursery,la,pépinière
creditor,le,créancier
taxation,la,imposition
disk,le,disque
dictionary,le,dictionnaire
conception,la,conception
trustee,le,syndic
molecule,la,molécule
holding,la,tenue
cottage,le,chalet
landlord,le,propriétaire
succession,la,succession
warmth,la,chaleur
spell,le,sort
chapel,la,chapelle
leisure,le,loisir
reign,le,règne
reply,la,réponse
duration,la,durée
castle,le,château
hierarchy,la,hiérarchie
correlation,la,corrélation
exclusion,la,exclusion
pub,le,pub
hypothesis,la,hypothèse
lamp,la,lampe
sphere,la,sphère
chancellor,le,chancelier
peasant,le,paysan
output,la,sortie
emperor,le,empereur
glance,le,regard
specimen,le,échantillon
directive,la,directive
thesis,la,thèse
working,le,travail
oak,le,chêne
turnover,le,chiffre d'affaires
allowance,la,allocation
tray,le,bac
auditor,le,auditeur
server,le,serveur
cathedral,la,cathédrale
pity,la,pitié
variable,la,variable
clay,la,argile
carriage,le,chariot
cinema,le,cinéma
leaflet,la,notice
copper,le,cuivre
density,la,densité
subsidiary,la,filiale
dismissal,le,licenciement
completion,le,achèvement
processor,le,processeur
packet,le,paquet
wool,la,laine
heading,le,en-tête
grammar,la,grammaire
pavement,le,trottoir
receiver,le,récepteur
module,le,module
railway,la,voie ferrée
pupil,la,pupille
cricket,le,grillon
printer,la,imprimante
interval,le,intervalle
diagram,le,diagramme
bastard,le,bâtard
